HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HR,AR
Bologna,Frosinone,0,4,A,8,4,2,4,9,2,1,0
Chievo,Fiorentina,3,4,A,14,11,8,7,7,5,0,1
Lazio,Juventus,1,2,A,11,4,5,3,8,1,0,0
Parma,Salernitana,2,3,A,9,15,5,6,1,10,0,0
Torino,Inter,1,0,H,7,9,4,4,6,7,0,1
Empoli,Genoa,1,3,A,13,12,7,7,1,3,0,0
Empoli,Chievo,2,2,D,11,10,9,4,10,6,0,0
Juventus,Parma,3,3,D,18,11,9,5,12,4,0,0
Napoli,Sampdoria,3,0,H,18,8,14,2,5,3,0,0
Genoa,Sassuolo,1,1,D,4,11,2,8,4,6,0,0
Inter,Bologna,0,1,A,12,8,3,7,6,7,0,0
Roma,Milan,1,1,D,11,6,9,5,10,2,0,0
Salernitana,Torino,0,0,D,8,5,1,1,11,6,0,1
Udinese,Fiorentina,1,1,D,7,9,2,4,1,10,0,0
Cagliari,Atalanta,0,1,A,8,10,2,6,2,4,0,0
Frosinone,Lazio,0,1,A,9,11,4,5,2,2,0,0
Lazio,Empoli,1,0,H,8,3,4,1,3,2,0,0
Chievo,Roma,0,3,A,11,11,6,9,7,7,0,0
Fiorentina,Napoli,0,0,D,10,12,4,4,5,5,0,0
Parma,Inter,0,1,A,6,13,2,7,2,10,0,0
Atalanta,Salernitana,2,1,H,8,5,5,3,9,4,0,0
Bologna,Genoa,1,1,D,7,9,4,6,13,3,0,0
Milan,Cagliari,3,0,H,17,7,10,3,2,5,0,0
Sampdoria,Frosinone,0,1,A,11,3,7,1,9,2,0,0
Sassuolo,Juventus,0,3,A,9,10,2,5,8,4,0,0
Torino,Udinese,1,0,H,12,10,7,6,9,2,0,1
Juventus,Frosinone,3,0,H,11,7,8,1,5,7,0,0
Atalanta,Milan,1,3,A,12,6,5,3,5,2,0,0
Cagliari,Parma,2,1,H,12,6,3,3,1,4,1,0
Empoli,Sassuolo,3,0,H,7,5,6,2,3,3,0,0
Genoa,Lazio,2,1,H,14,6,6,6,7,3,0,0
Inter,Sampdoria,2,1,H,14,6,7,2,9,5,0,0
Napoli,Torino,0,0,D,20,6,10,1,15,4,0,0
Salernitana,Fiorentina,1,4,A,6,15,4,9,3,10,0,0
Udinese,Chievo,1,0,H,11,13,7,9,6,4,0,0
Roma,Bologna,2,1,H,9,14,4,10,9,7,0,0
Milan,Empoli,3,0,H,10,4,7,1,6,2,0,0
Frosinone,Roma,2,3,A,9,7,5,5,4,8,0,0
Torino,Atalanta,2,0,H,11,9,7,4,4,4,0,0
Bologna,Juventus,0,1,A,13,5,4,4,4,5,0,0
Chievo,Genoa,0,0,D,8,6,5,2,4,6,0,0
Fiorentina,Inter,3,3,D,10,7,2,6,9,6,0,0
Parma,Napoli,0,4,A,8,14,2,5,5,2,0,0
Sampdoria,Cagliari,1,0,H,9,8,6,1,3,5,0,0
Sassuolo,Salernitana,1,1,D,6,5,2,3,3,5,1,0
Cagliari,Inter,2,1,H,12,19,5,7,1,5,0,0
Empoli,Parma,3,3,D,13,7,9,7,8,2,0,0
Lazio,Roma,3,0,H,6,7,4,3,5,7,0,1
Milan,Sassuolo,1,0,H,7,11,4,6,6,6,0,1
Atalanta,Fiorentina,3,1,H,17,7,10,4,8,5,0,0
Genoa,Frosinone,0,0,D,10,3,6,0,8,2,0,1
Napoli,Juventus,1,2,A,13,4,5,3,12,4,1,1
Salernitana,Sampdoria,1,2,A,8,14,2,10,5,4,1,0
Torino,Chievo,3,0,H,9,9,6,5,7,4,0,0
Udinese,Bologna,2,1,H,11,11,6,9,6,6,0,0
Juventus,Udinese,4,1,H,15,4,6,2,5,0,0,0
Chievo,Milan,1,2,A,5,9,1,3,4,1,0,0
Parma,Genoa,1,0,H,8,8,4,1,4,5,0,0
Bologna,Cagliari,2,0,H,17,7,8,6,8,3,0,0
Fiorentina,Lazio,1,1,D,7,7,1,6,4,7,0,0
Frosinone,Torino,1,2,A,9,10,5,7,3,3,0,0
Inter,Salernitana,2,0,H,10,2,4,1,4,7,0,0
Sampdoria,Atalanta,1,2,A,11,13,6,6,4,7,0,0
Sassuolo,Napoli,1,1,D,7,9,1,4,3,5,0,0
Roma,Empoli,2,1,H,7,4,2,2,5,3,1,0
Cagliari,Fiorentina,2,1,H,10,6,6,4,4,4,0,0
Sassuolo,Sampdoria,3,5,A,12,17,5,11,6,5,0,0
Salernitana,Roma,2,1,H,10,10,6,5,3,5,0,0
Torino,Bologna,2,3,A,16,8,7,6,4,5,1,1
Atalanta,Chievo,1,1,D,11,6,6,3,10,1,0,0
Empoli,Frosinone,2,1,H,8,9,5,3,2,2,0,0
Genoa,Juventus,2,0,H,10,3,5,0,6,6,0,0
Lazio,Parma,4,1,H,14,4,8,2,6,5,0,0
Milan,Inter,2,3,A,9,10,7,6,7,4,0,0
Napoli,Udinese,4,2,H,13,8,5,3,5,2,0,0
Chievo,Cagliari,0,3,A,10,9,8,3,5,5,1,0
Juventus,Empoli,1,0,H,14,3,6,0,5,4,0,0
Sampdoria,Milan,1,0,H,14,7,8,5,5,10,0,0
Udinese,Genoa,2,0,H,12,15,5,6,3,5,0,0
Bologna,Sassuolo,2,1,H,11,5,8,4,9,4,0,0
Fiorentina,Torino,1,1,D,16,6,8,2,7,5,0,0
Frosinone,Salernitana,0,1,A,19,5,9,3,8,3,0,0
Inter,Lazio,0,1,A,11,6,6,5,12,3,0,0
Parma,Atalanta,1,3,A,6,18,4,11,4,6,0,0
Roma,Napoli,1,4,A,11,12,5,10,4,7,0,0
Cagliari,Juventus,0,2,A,5,11,1,6,3,5,0,0
Milan,Udinese,1,1,D,12,7,9,3,7,5,0,0
Empoli,Napoli,2,1,H,13,11,9,5,8,2,0,0
Frosinone,Parma,3,2,H,14,10,5,6,3,3,0,0
Genoa,Inter,0,4,A,5,12,2,9,1,6,1,0
Roma,Fiorentina,2,2,D,12,10,6,5,4,6,0,0
Salernitana,Lazio,1,0,H,8,9,4,5,2,7,0,0
Torino,Sampdoria,2,1,H,14,6,6,3,6,3,0,0
Atalanta,Bologna,4,1,H,12,8,6,4,5,4,0,0
Sassuolo,Chievo,4,0,H,13,9,8,5,5,4,0,0
Juventus,Milan,2,1,H,10,12,6,5,5,8,0,0
Parma,Torino,0,0,D,5,12,1,4,3,4,0,0
Sampdoria,Roma,0,1,A,10,9,2,5,8,3,0,0
Cagliari,Salernitana,2,1,H,14,5,11,2,9,4,0,0
Fiorentina,Frosinone,0,1,A,14,6,5,3,10,7,0,0
Inter,Atalanta,0,0,D,8,5,6,2,8,4,0,0
Lazio,Sassuolo,2,2,D,18,3,7,2,11,1,0,0
Napoli,Genoa,1,1,D,19,12,10,7,11,6,0,1
Udinese,Empoli,3,2,H,14,12,6,6,6,6,1,0
Bologna,Chievo,3,0,H,14,4,11,2,6,3,0,1
Milan,Lazio,1,0,H,10,8,5,6,11,4,0,0
Roma,Udinese,1,0,H,11,7,5,4,7,6,0,0
Salernitana,Juventus,2,1,H,8,4,3,3,5,4,0,0
Chievo,Napoli,1,3,A,4,12,4,5,3,7,0,0
Fiorentina,Bologna,0,0,D,14,5,7,3,10,5,0,0
Frosinone,Inter,1,3,A,10,10,4,5,1,3,0,0
Sampdoria,Genoa,2,0,H,13,6,7,1,3,8,0,1
Sassuolo,Parma,0,0,D,16,3,8,1,7,3,0,0
Torino,Cagliari,1,1,D,14,9,8,6,6,6,1,2
Atalanta,Empoli,0,0,D,32,2,18,1,9,3,0,0
Lazio,Udinese,2,0,H,15,9,7,4,4,5,0,0
Bologna,Sampdoria,3,0,H,12,9,6,3,3,4,0,0
Cagliari,Frosinone,1,0,H,12,5,6,2,5,6,1,0
Empoli,Salernitana,2,4,A,11,9,6,7,3,6,0,0
Genoa,Torino,0,1,A,8,8,4,4,3,2,0,0
Inter,Roma,1,1,D,13,9,7,5,7,4,0,0
Juventus,Fiorentina,2,1,H,9,9,5,6,10,7,0,0
Lazio,Chievo,1,2,A,16,8,8,6,13,2,2,0
Parma,Milan,1,1,D,10,8,3,3,8,4,0,0
Udinese,Sassuolo,1,1,D,10,6,5,2,6,5,0,0
Napoli,Atalanta,1,2,A,13,11,9,7,3,3,0,0
Bologna,Empoli,3,1,H,17,4,7,3,13,5,0,0
Inter,Juventus,1,1,D,10,10,6,4,10,4,0,0
Roma,Cagliari,3,0,H,15,4,11,1,5,5,0,0
Chievo,Parma,1,1,D,6,6,2,2,2,4,0,0
Frosinone,Napoli,0,2,A,13,19,4,13,2,6,0,0
Sampdoria,Lazio,1,2,A,7,10,5,5,1,4,1,0
Salernitana,Genoa,1,1,D,11,11,5,5,2,4,0,0
Torino,Milan,2,0,H,7,7,3,5,4,9,0,1
Atalanta,Udinese,2,0,H,13,4,8,2,9,5,0,0
Fiorentina,Sassuolo,0,1,A,7,9,4,5,7,8,0,0
Juventus,Torino,1,1,D,11,9,4,2,7,3,0,0
